,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",394,408,501,678,792,AL,112249
1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",368,439,566,770,790,AL,115092
2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",464,534,595,758,813,AL,941932
5,1,METRO17980M17980,"Columbus, GA-AL MSA",498,528,601,792,938,AL,49756
6,1,METRO19460M19460,"Decatur, AL MSA",395,450,507,692,712,AL,145867
7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",375,436,484,615,705,AL,114551
9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",421,423,519,685,796,AL,142950
10,1,METRO23460M23460,"Gadsden, AL MSA",387,443,515,673,695,AL,103459
11,1,METRO26620M26620,"Huntsville, AL MSA",454,485,581,797,940,AL,342376
12,1,METRO33660M33660,"Mobile, AL MSA",500,530,605,796,960,AL,399843
13,1,METRO33860M33860,"Montgomery, AL MSA",491,564,641,861,1124,AL,346528
14,1,METRO46220M46220,"Tuscaloosa, AL MSA",440,494,617,810,834,AL,192034
54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",676,772,967,1409,1698,AK,260283
56,2,METRO21820M21820,"Fairbanks, AK MSA",566,686,871,1250,1347,AK,82840
81,4,METRO22380M22380,"Flagstaff, AZ MSA",733,845,962,1252,1648,AZ,116320
82,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",544,638,770,1122,1338,AZ,3251876
83,4,METRO39140M39140,"Prescott, AZ MSA",610,620,764,1113,1159,AZ,167517
84,4,METRO46060M46060,"Tucson, AZ MSA",486,571,746,1076,1209,AZ,843746
85,4,METRO49740M49740,"Yuma, AZ MSA",535,596,708,1009,1191,AZ,160026
95,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",440,465,591,858,919,AR,325364
96,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",354,400,504,681,753,AR,168318
98,5,METRO26300M26300,"Hot Springs, AR MSA",394,492,608,783,807,AR,88068
99,5,METRO27860M27860,"Jonesboro, AR HUD Metro FMR Area",436,450,523,722,744,AR,82148
101,5,METRO30780M30780,"Little Rock-North Little Rock, AR HUD Metro FMR Area",508,564,629,859,935,AR,594054
103,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",569,616,686,914,960,AR,50866
104,5,METRO38220M38220,"Pine Bluff, AR MSA",389,460,564,690,773,AR,107341
105,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",449,450,552,695,759,AR,40443
161,6,METRO12540M12540,"Bakersfield, CA MSA",516,557,660,963,1160,CA,661645
162,6,METRO17020M17020,"Chico, CA MSA",506,598,723,1019,1210,CA,203171
163,6,METRO20940M20940,"El Centro, CA MSA",517,582,686,984,1203,CA,142361
