,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
57,214,8,METRO14500M14500,"Boulder, CO MSA",810,921,1166,1699,2031,CO,269814.0
58,215,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",582,661,818,1180,1391,CO,516929.0
59,217,8,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",698,796,1007,1430,1667,CO,2179240.0
60,218,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",657,770,898,1308,1574,CO,251494.0
61,219,8,METRO24300M24300,"Grand Junction, CO MSA",622,623,747,1090,1315,CO,116255.0
62,220,8,METRO24540M24540,"Greeley, CO MSA",608,623,753,1099,1307,CO,180926.0
63,221,8,METRO39380M39380,"Pueblo, CO MSA",535,557,735,961,1098,CO,141472.0
64,269,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",911,1142,1386,1656,2014,CT,345708.0
65,270,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1102,1365,1683,2072,2489,CT,183303.0
66,271,9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1292,1562,1985,2616,3400,CT,353556.0
67,272,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",760,910,1113,1337,1659,CT,1101732.0
68,274,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",1014,1102,1276,1603,1726,CT,113771.0
69,275,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",910,1032,1246,1491,1705,CT,523037.0
70,276,9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",659,844,1014,1215,1298,CT,187200.0
71,277,9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",755,914,1074,1325,1470,CT,237630.0
72,278,9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",744,871,1144,1368,1412,CT,21458.0
73,281,10,METRO20100M20100,"Dover, DE MSA",727,789,875,1185,1519,DE,126697.0
74,282,10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",789,900,1077,1317,1589,DE,500265.0
75,284,11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1131,1289,1461,1885,2466,DC,572059.0
76,285,12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",851,931,1062,1455,1496,FL,440888.0
77,286,12,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL MSA",696,801,903,1317,1490,FL,170498.0
78,287,12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",746,801,994,1282,1321,FL,443343.0
79,288,12,METRO23540M23540,"Gainesville, FL MSA",676,774,881,1286,1326,FL,232392.0
80,289,12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",731,815,956,1220,1419,FL,1100491.0
81,291,12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",723,790,913,1202,1412,FL,483924.0
82,292,12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",956,1069,1285,1777,2256,FL,1623018.0
83,293,12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",929,1055,1265,1639,1932,FL,2253362.0
84,294,12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",944,1106,1306,1847,1903,FL,1131184.0
85,295,12,METRO34940M34940,"Naples-Marco Island, FL MSA",993,1101,1227,1567,1880,FL,251377.0
86,296,12,METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",843,923,1111,1419,1559,FL,589959.0
