,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",467,484,594,804,939,AL,112249
1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",436,520,670,911,935,AL,115092
2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",590,679,757,964,1035,AL,941932
3,1,METRO13820N01021,Nan,398,550,611,761,859,AL,39593
5,1,METRO17980M17980,"Columbus, GA-AL MSA",583,617,703,927,1097,AL,49756
6,1,METRO19460M19460,"Decatur, AL MSA",467,533,600,819,842,AL,145867
7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",441,513,570,724,830,AL,114551
9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",499,500,614,810,942,AL,142950
10,1,METRO23460M23460,"Gadsden, AL MSA",457,523,608,794,821,AL,103459
11,1,METRO26620M26620,"Huntsville, AL MSA",539,575,689,945,1115,AL,342376
12,1,METRO33660M33660,"Mobile, AL MSA",591,626,715,941,1135,AL,399843
13,1,METRO33860M33860,"Montgomery, AL MSA",580,666,757,1017,1327,AL,346528
14,1,METRO46220M46220,"Tuscaloosa, AL MSA",521,585,731,959,988,AL,192034
54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",725,828,1037,1511,1821,AK,260283
56,2,METRO21820M21820,"Fairbanks, AK MSA",654,793,1006,1444,1556,AK,82840
81,4,METRO22380M22380,"Flagstaff, AZ MSA",872,1004,1144,1488,1960,AZ,116320
82,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",630,673,795,1123,1274,AZ,155032
83,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",653,765,923,1345,1604,AZ,3251876
84,4,METRO39140M39140,"Prescott, AZ MSA",713,725,894,1303,1356,AZ,167517
85,4,METRO46060M46060,"Tucson, AZ MSA",519,610,797,1150,1291,AZ,843746
86,4,METRO49740M49740,"Yuma, AZ MSA",609,679,807,1150,1357,AZ,160026
95,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",517,546,695,1009,1081,AR,325364
96,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",407,461,580,784,867,AR,168318
98,5,METRO26300M26300,"Hot Springs, AR MSA",441,551,680,876,903,AR,88068
99,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",495,513,594,842,867,AR,82148
101,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",585,650,725,990,1077,AR,594054
103,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",668,724,806,1074,1128,AR,50866
104,5,METRO38220M38220,"Pine Bluff, AR MSA",435,514,630,770,863,AR,107341
105,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",523,524,643,810,884,AR,40443
161,6,METRO12540M12540,"Bakersfield, CA MSA",607,655,776,1132,1363,CA,661645
162,6,METRO17020M17020,"Chico, CA MSA",618,730,883,1244,1478,CA,203171
163,6,METRO20940M20940,"El Centro, CA MSA",645,727,857,1230,1502,CA,142361
164,6,METRO23420M23420,"Fresno, CA MSA",691,765,884,1285,1470,CA,799407
165,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",671,701,810,1181,1424,CA,129461
166,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",981,1186,1486,2025,2494,CA,9519338
168,6,METRO31460M31460,"Madera, CA MSA",644,689,894,1283,1322,CA,123109
169,6,METRO32900M32900,"Merced, CA MSA",611,673,813,1184,1428,CA,210554
170,6,METRO33700M33700,"Modesto, CA MSA",724,785,919,1312,1563,CA,446997
171,6,METRO34900M34900,"Napa, CA MSA",954,1075,1355,1970,2375,CA,124279
172,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1134,1258,1591,2315,2670,CA,753197
173,6,METRO39820M39820,"Redding, CA MSA",607,691,840,1226,1478,CA,163256
174,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",952,1040,1213,1722,2014,CA,3254821
175,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",790,901,1074,1565,1824,CA,1628197
176,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",851,931,1102,1606,1935,CA,168660
177,6,METRO41500M41500,"Salinas, CA MSA",920,1032,1218,1772,1845,CA,401762
178,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1024,1168,1418,2067,2493,CA,2813833
179,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",986,1182,1400,1950,2393,CA,2392557
180,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1136,1393,1748,2320,2491,CA,1731183
181,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1030,1210,1428,2051,2249,CA,1682585
183,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",817,974,1192,1736,1831,CA,246681
184,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1087,1227,1440,1817,2189,CA,399347
185,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1113,1309,1713,2494,2669,CA,255602
186,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",898,1087,1359,1979,2299,CA,458614
187,6,METRO44700M44700,"Stockton, CA MSA",729,821,1006,1390,1769,CA,563598
188,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",1004,1090,1249,1719,2080,CA,394542
189,6,METRO47300M47300,"Visalia-Porterville, CA MSA",585,620,713,1040,1070,CA,368021
190,6,METRO49700M49700,"Yuba City, CA MSA",569,644,780,1135,1367,CA,139149
212,8,METRO14500M14500,"Boulder, CO MSA",756,860,1088,1585,1895,CO,269814
213,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",600,681,843,1216,1434,CO,516929
215,8,METRO19740M19740,"Denver-Aurora, CO MSA",617,704,891,1265,1475,CO,2179240
216,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",646,758,883,1287,1548,CO,251494
217,8,METRO24300M24300,"Grand Junction, CO MSA",587,588,705,1029,1241,CO,116255
218,8,METRO24540M24540,"Greeley, CO MSA",567,581,702,1025,1219,CO,180926
219,8,METRO39380M39380,"Pueblo, CO MSA",526,548,723,946,1080,CO,141472
267,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",856,1074,1303,1557,1893,CT,345708
268,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1036,1283,1582,1947,2340,CT,183303
