,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",521,545,716,925,963,AL,118572
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",636,641,867,1194,1465,AL,140247
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",595,712,844,1109,1247,AL,1017381
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",588,689,817,1126,1447,AL,52947
4,6,1,METRO19460M19460,"Decatur, AL MSA",495,598,709,983,1013,AL,153829
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",494,529,681,908,1122,AL,128337
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",505,508,649,867,870,AL,147137
7,10,1,METRO23460M23460,"Gadsden, AL MSA",394,508,662,824,930,AL,104430
8,11,1,METRO26620M26620,"Huntsville, AL MSA",554,619,764,1051,1111,AL,417593
9,12,1,METRO33660M33660,"Mobile, AL MSA",670,699,829,1111,1277,AL,412992
10,13,1,METRO33860M33860,"Montgomery, AL MSA",673,711,845,1162,1381,AL,374536
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",481,611,808,1014,1151,AL,219461
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",866,1002,1283,1891,2272,AK,291826
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",878,1091,1476,2175,2535,AK,97581
14,76,2,NCNTY02230N02230,"Skagway Municipality, AK",893,1049,1244,1549,1796,AK,968
15,83,4,METRO22380M22380,"Flagstaff, AZ MSA",834,968,1212,1538,1960,AZ,134421
16,84,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",505,624,797,1081,1250,AZ,200186
17,85,4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",620,782,966,1423,1662,AZ,4192887
18,86,4,METRO39140M39140,"Prescott, AZ MSA",590,670,847,1248,1319,AZ,211033
19,87,4,METRO46060M46060,"Tucson, AZ MSA",522,652,877,1288,1532,AZ,980263
20,88,4,METRO49740M49740,"Yuma, AZ MSA",647,692,913,1345,1541,AZ,195751
21,97,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",520,594,764,1126,1328,AR,440121
22,98,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",517,520,682,909,1024,AR,187692
23,100,5,METRO26300M26300,"Hot Springs, AR MSA",506,628,850,1131,1388,AR,96024
24,101,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",402,535,661,929,932,AR,96443
25,103,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",572,661,794,1110,1232,AR,681904
26,105,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",659,752,892,1219,1359,AR,50902
27,106,5,METRO38220M38220,"Pine Bluff, AR MSA",439,517,688,862,1054,AR,100258
28,107,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",512,665,817,1018,1092,AR,43462
29,163,6,METRO12540M12540,"Bakersfield-Delano, CA MSA",673,678,887,1301,1571,CA,839631
30,164,6,METRO17020M17020,"Chico, CA MSA",562,703,927,1323,1642,CA,220000
31,165,6,METRO20940M20940,"El Centro, CA MSA",497,605,782,1152,1385,CA,174528
32,166,6,METRO23420M23420,"Fresno, CA MSA",686,714,901,1266,1477,CA,930450
33,167,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",533,630,853,1213,1275,CA,152982
34,168,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",993,1201,1550,2096,2335,CA,9818605
35,170,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",690,695,940,1366,1498,CA,150865
36,171,6,METRO32900M32900,"Merced, CA MSA",530,614,808,1191,1431,CA,255793
37,172,6,METRO33700M33700,"Modesto, CA MSA",617,762,977,1440,1671,CA,514453
38,173,6,METRO34900M34900,"Napa, CA MSA",975,1222,1635,2333,2341,CA,136484
39,174,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1042,1245,1671,2308,2671,CA,823318
40,175,6,METRO39820M39820,"Redding, CA MSA",754,776,975,1437,1601,CA,177223
41,176,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",788,908,1153,1629,1987,CA,4224851
42,177,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",726,865,1086,1600,1923,CA,1948278
43,178,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",813,878,1186,1748,2039,CA,200849
44,179,6,METRO41500M41500,"Salinas, CA MSA",943,1060,1335,1947,2177,CA,415057
45,180,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1049,1153,1512,2198,2678,CA,3095313
46,181,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1120,1358,1708,2385,2926,CA,2559296
47,182,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1378,1794,2263,3074,3717,CA,1776095
48,183,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1317,1541,1965,2771,3141,CA,1781642
49,185,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",934,1080,1394,2054,2142,CA,269637
50,186,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1117,1283,1538,2055,2379,CA,423895
51,187,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1146,1387,1876,2418,2698,CA,262382
52,188,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",958,1117,1462,2154,2525,CA,483878
53,189,6,METRO44700M44700,"Stockton, CA MSA",643,766,1005,1481,1780,CA,685306
54,190,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",814,1024,1283,1891,2248,CA,413344
55,191,6,METRO47300M47300,"Visalia-Porterville, CA MSA",619,635,827,1219,1417,CA,442179
56,192,6,METRO49700M49700,"Yuba City, CA MSA",585,704,902,1303,1543,CA,166892
57,214,8,METRO14500M14500,"Boulder, CO MSA",927,1077,1332,1963,2332,CO,294567
58,215,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",575,714,927,1366,1642,CO,622263
59,217,8,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",723,893,1156,1696,1967,CO,2543482
60,218,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",635,786,946,1394,1675,CO,299630
61,219,8,METRO24300M24300,"Grand Junction, CO MSA",516,615,818,1205,1385,CO,146723
62,220,8,METRO24540M24540,"Greeley, CO MSA",555,649,834,1224,1477,CO,252825
63,221,8,METRO39380M39380,"Pueblo, CO MSA",486,589,771,1103,1191,CO,159063
64,269,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",877,1101,1401,1833,1985,CT,357563
65,270,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1103,1257,1701,2121,2683,CT,194747
66,271,9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1413,1713,2127,2649,3296,CT,364519
67,272,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",732,918,1144,1425,1655,CT,1164104
68,274,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",1017,1073,1326,1678,1870,CT,120182
69,275,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",874,1055,1316,1639,1818,CT,546503
70,276,9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",626,846,1032,1285,1396,CT,195792
71,277,9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",767,863,1133,1450,1672,CT,250679
72,278,9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",802,876,1185,1476,1717,CT,23376
73,281,10,METRO20100M20100,"Dover, DE MSA",715,915,1085,1520,1917,DE,162310
74,282,10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",814,959,1156,1440,1546,DE,538479
75,284,11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1260,1328,1574,2107,2646,DC,601723
76,285,12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",753,758,960,1303,1341,FL,618754
77,286,12,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL MSA",765,770,963,1419,1659,FL,180822
78,287,12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",604,777,956,1306,1406,FL,494593
79,288,12,METRO23540M23540,"Gainesville, FL MSA",727,747,949,1268,1649,FL,264275
80,289,12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",671,827,994,1311,1604,FL,1318481
81,291,12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",687,691,895,1214,1478,FL,602095
82,292,12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",764,994,1263,1801,2237,FL,1748066
83,293,12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",801,976,1250,1715,2004,FL,2496435
84,294,12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",752,965,1206,1628,1945,FL,1320134
85,295,12,METRO34940M34940,"Naples-Marco Island, FL MSA",746,858,1069,1396,1719,FL,321520
86,296,12,METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",717,798,1021,1368,1607,FL,702281
87,297,12,METRO36100M36100,"Ocala, FL MSA",542,672,842,1135,1139,FL,331298
88,298,12,METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",746,882,1052,1403,1697,FL,2134411
89,299,12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",573,749,927,1283,1526,FL,543376
90,300,12,METRO37380M37380,"Palm Coast, FL MSA",669,750,978,1273,1397,FL,95696
91,301,12,METRO37460M37460,"Panama City-Lynn Haven-Panama City Beach, FL MSA",749,797,945,1287,1626,FL,168852
92,302,12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",654,745,883,1190,1544,FL,448991
93,303,12,METRO38940M38940,"Port St. Lucie, FL MSA",729,808,1001,1376,1622,FL,424107
94,304,12,METRO39460M39460,"Punta Gorda, FL MSA",542,714,911,1294,1298,FL,159978
95,305,12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",564,699,871,1172,1176,FL,138028
96,306,12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",752,799,965,1237,1682,FL,336637
97,308,12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",650,815,1022,1364,1633,FL,2783243
98,337,13,METRO10500M10500,"Albany, GA MSA",515,584,703,973,999,GA,157308
99,339,13,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",755,824,977,1294,1572,GA,5176116
100,345,13,METRO15260M15260,"Brunswick, GA MSA",548,551,746,929,1045,GA,112370
101,346,13,METRO16860M16860,"Chattanooga, TN-GA MSA",510,615,765,1040,1172,GA,149331
103,348,13,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",529,573,698,896,1117,GA,102599
104,350,13,METRO23580M23580,"Gainesville, GA MSA",683,687,870,1129,1163,GA,179684
105,351,13,METRO25980M25980,"Hinesville-Fort Stewart, GA HUD Metro FMR Area",610,635,793,1119,1391,GA,63453
106,353,13,METRO31420M31420,"Macon, GA MSA",530,638,756,1044,1141,GA,205869
107,355,13,METRO40660M40660,"Rome, GA MSA",609,613,829,1032,1466,GA,96317
108,356,13,METRO42340M42340,"Savannah, GA MSA",671,823,976,1302,1544,GA,347611
109,357,13,METRO46660M46660,"Valdosta, GA MSA",638,642,798,1023,1217,GA,139588
110,358,13,METRO47580M47580,"Warner Robins, GA MSA",698,719,887,1138,1359,GA,139900
111,448,15,METRO26180M26180,"Honolulu, HI MSA",1260,1374,1810,2667,3061,HI,953207
112,453,16,METRO14260M14260,"Boise City-Nampa, ID HUD Metro FMR Area",462,617,776,1143,1271,ID,599842
113,455,16,METRO17660M17660,"Coeur d'Alene, ID MSA",519,618,782,1113,1372,ID,138494
114,456,16,METRO26820M26820,"Idaho Falls, ID MSA",445,526,711,1003,1259,ID,130374
