,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",528,551,725,936,975,AL,118572
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",573,577,781,1075,1320,AL,140247
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",572,684,811,1065,1198,AL,1017381
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",550,644,764,1053,1353,AL,52947
4,6,1,METRO19460M19460,"Decatur, AL MSA",445,537,637,883,910,AL,153829
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",431,461,594,792,979,AL,128337
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",516,519,663,885,889,AL,147137
7,10,1,METRO23460M23460,"Gadsden, AL MSA",380,491,639,796,897,AL,104430
8,11,1,METRO26620M26620,"Huntsville, AL MSA",535,598,738,1015,1073,AL,417593
9,12,1,METRO33660M33660,"Mobile, AL MSA",672,702,832,1115,1282,AL,412992
10,13,1,METRO33860M33860,"Montgomery, AL MSA",606,640,761,1046,1244,AL,374536
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",516,656,868,1090,1237,AL,219461
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",823,952,1219,1796,2159,AK,291826
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",837,1040,1407,2073,2416,AK,97581
14,76,2,NCNTY02230N02230,"Skagway Municipality, AK",857,1007,1194,1487,1724,AK,968
15,83,4,METRO22380M22380,"Flagstaff, AZ MSA",750,871,1090,1383,1763,AZ,134421
16,84,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",510,630,804,1090,1261,AZ,200186
17,85,4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",614,774,957,1410,1647,AZ,4192887
18,86,4,METRO39140M39140,"Prescott, AZ MSA",583,662,836,1232,1302,AZ,211033
19,87,4,METRO46060M46060,"Tucson, AZ MSA",507,633,852,1251,1489,AZ,980263
20,88,4,METRO49740M49740,"Yuma, AZ MSA",619,661,873,1286,1473,AZ,195751
21,97,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",499,570,733,1080,1274,AR,440121
22,98,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",484,487,638,850,958,AR,187692
23,100,5,METRO26300M26300,"Hot Springs, AR MSA",504,626,847,1127,1383,AR,96024
24,101,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",393,522,646,908,911,AR,96443
25,103,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",566,654,786,1098,1220,AR,681904
26,105,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",617,705,836,1142,1273,AR,50902
27,106,5,METRO38220M38220,"Pine Bluff, AR MSA",439,516,687,860,1052,AR,100258
28,107,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",473,614,755,940,1009,AR,43462
29,163,6,METRO12540M12540,"Bakersfield-Delano, CA MSA",660,664,869,1274,1539,CA,839631
30,164,6,METRO17020M17020,"Chico, CA MSA",550,688,907,1295,1606,CA,220000
31,165,6,METRO20940M20940,"El Centro, CA MSA",548,667,862,1270,1527,CA,174528
32,166,6,METRO23420M23420,"Fresno, CA MSA",668,695,878,1234,1440,CA,930450
33,167,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",586,694,939,1335,1404,CA,152982
34,168,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",977,1181,1524,2061,2296,CA,9818605
35,170,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",606,610,825,1199,1315,CA,150865
36,171,6,METRO32900M32900,"Merced, CA MSA",553,641,843,1242,1493,CA,255793
37,172,6,METRO33700M33700,"Modesto, CA MSA",607,750,962,1418,1645,CA,514453
38,173,6,METRO34900M34900,"Napa, CA MSA",914,1146,1533,2187,2195,CA,136484
39,174,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",989,1182,1587,2192,2537,CA,823318
40,175,6,METRO39820M39820,"Redding, CA MSA",779,801,1007,1484,1654,CA,177223
41,176,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",766,882,1120,1582,1930,CA,4224851
42,177,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",717,854,1072,1580,1899,CA,1948278
43,178,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",815,881,1190,1754,2045,CA,200849
44,179,6,METRO41500M41500,"Salinas, CA MSA",934,1049,1322,1928,2156,CA,415057
45,180,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1019,1119,1468,2134,2600,CA,3095313
46,181,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1113,1349,1697,2370,2908,CA,2559296
47,182,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1307,1701,2146,2915,3524,CA,1776095
48,183,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1190,1392,1775,2503,2837,CA,1781642
49,185,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",866,1002,1293,1905,1987,CA,269637
50,186,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1178,1353,1622,2168,2509,CA,423895
51,187,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1051,1271,1720,2217,2473,CA,262382
52,188,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",871,1016,1330,1960,2297,CA,483878
53,189,6,METRO44700M44700,"Stockton, CA MSA",631,752,986,1453,1746,CA,685306
54,190,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",785,988,1238,1824,2169,CA,413344
55,191,6,METRO47300M47300,"Visalia-Porterville, CA MSA",603,619,805,1186,1379,CA,442179
56,192,6,METRO49700M49700,"Yuba City, CA MSA",542,654,837,1209,1432,CA,166892
57,214,8,METRO14500M14500,"Boulder, CO MSA",877,1019,1260,1857,2206,CO,294567
58,215,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",542,673,874,1288,1548,CO,622263
59,217,8,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",641,792,1025,1504,1744,CO,2543482
60,218,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",639,790,951,1401,1684,CO,299630
61,219,8,METRO24300M24300,"Grand Junction, CO MSA",509,606,807,1189,1366,CO,146723
62,220,8,METRO24540M24540,"Greeley, CO MSA",501,585,752,1103,1332,CO,252825
63,221,8,METRO39380M39380,"Pueblo, CO MSA",469,568,743,1063,1147,CO,159063
64,269,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",786,986,1255,1642,1778,CT,357563
65,270,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1099,1252,1694,2112,2672,CT,194747
66,271,9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1388,1683,2090,2603,3238,CT,364519
67,272,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",749,939,1170,1457,1693,CT,1164104
68,274,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",996,1050,1298,1643,1831,CT,120182
69,275,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",812,980,1223,1523,1690,CT,546503
70,276,9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",618,835,1018,1268,1377,CT,195792
71,277,9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",747,840,1103,1412,1628,CT,250679
72,278,9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",783,855,1157,1441,1677,CT,23376
73,281,10,METRO20100M20100,"Dover, DE MSA",657,841,997,1396,1761,DE,162310
74,282,10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",799,942,1135,1414,1518,DE,538479
75,284,11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1272,1340,1589,2127,2671,DC,601723
76,285,12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",747,752,953,1293,1331,FL,618754
77,286,12,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL MSA",748,753,941,1387,1621,FL,180822
78,287,12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",589,757,932,1273,1371,FL,494593
79,288,12,METRO23540M23540,"Gainesville, FL MSA",714,734,933,1247,1621,FL,264275
80,289,12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",671,827,994,1311,1604,FL,1318481
81,291,12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",666,671,868,1177,1433,FL,602095
82,292,12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",762,992,1260,1797,2232,FL,1748066
83,293,12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",805,980,1255,1722,2012,FL,2496435
84,294,12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",750,962,1202,1623,1938,FL,1320134
85,295,12,METRO34940M34940,"Naples-Marco Island, FL MSA",761,875,1090,1424,1753,FL,321520
86,296,12,METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",710,790,1011,1355,1591,FL,702281
87,297,12,METRO36100M36100,"Ocala, FL MSA",540,669,838,1129,1133,FL,331298
88,298,12,METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",734,868,1035,1380,1670,FL,2134411
89,299,12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",562,735,910,1260,1499,FL,543376
90,300,12,METRO37380M37380,"Palm Coast, FL MSA",718,805,1050,1367,1500,FL,95696
91,301,12,METRO37460M37460,"Panama City-Lynn Haven-Panama City Beach, FL MSA",725,771,914,1244,1572,FL,168852
92,302,12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",659,751,890,1200,1556,FL,448991
93,303,12,METRO38940M38940,"Port St. Lucie, FL MSA",718,796,986,1356,1598,FL,424107
94,304,12,METRO39460M39460,"Punta Gorda, FL MSA",543,715,912,1295,1300,FL,159978
95,305,12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",603,747,931,1252,1257,FL,138028
96,306,12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",751,798,964,1236,1680,FL,336637
97,308,12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",643,806,1011,1349,1616,FL,2783243
98,337,13,METRO10500M10500,"Albany, GA MSA",556,630,759,1050,1078,GA,157308
99,339,13,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",738,805,954,1263,1535,GA,5176116
100,345,13,METRO15260M15260,"Brunswick, GA MSA",527,531,718,894,1005,GA,112370
101,346,13,METRO16860M16860,"Chattanooga, TN-GA MSA",486,586,729,991,1117,GA,149331
103,348,13,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",564,611,744,955,1190,GA,102599
104,350,13,METRO23580M23580,"Gainesville, GA MSA",672,676,856,1111,1144,GA,179684
105,351,13,METRO25980M25980,"Hinesville-Fort Stewart, GA HUD Metro FMR Area",619,645,805,1136,1412,GA,63453
106,353,13,METRO31420M31420,"Macon, GA MSA",564,678,804,1110,1214,GA,205869
107,355,13,METRO40660M40660,"Rome, GA MSA",531,534,723,900,1279,GA,96317
108,356,13,METRO42340M42340,"Savannah, GA MSA",627,770,913,1218,1444,GA,347611
109,357,13,METRO46660M46660,"Valdosta, GA MSA",621,625,777,996,1185,GA,139588
110,358,13,METRO47580M47580,"Warner Robins, GA MSA",635,654,807,1035,1237,GA,139900
111,448,15,METRO26180M26180,"Honolulu, HI MSA",1267,1382,1820,2682,3078,HI,953207
