,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",487,504,619,838,979,AL,112249
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",454,542,698,949,974,AL,115092
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",622,715,797,1015,1089,AL,941932
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",604,639,728,960,1136,AL,49756
4,6,1,METRO19460M19460,"Decatur, AL MSA",487,555,625,853,878,AL,145867
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",460,535,594,754,865,AL,114551
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",520,522,640,844,982,AL,142950
7,10,1,METRO23460M23460,"Gadsden, AL MSA",477,545,634,828,856,AL,103459
8,11,1,METRO26620M26620,"Huntsville, AL MSA",561,599,718,985,1162,AL,342376
9,12,1,METRO33660M33660,"Mobile, AL MSA",615,652,744,979,1181,AL,399843
10,13,1,METRO33860M33860,"Montgomery, AL MSA",604,693,788,1058,1381,AL,346528
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",543,610,762,1000,1030,AL,192034
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",755,862,1080,1574,1896,AK,260283
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",686,831,1055,1514,1632,AK,82840
14,81,4,METRO22380M22380,"Flagstaff, AZ MSA",920,1061,1208,1572,2069,AZ,116320
15,82,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",666,711,840,1186,1347,AZ,155032
16,83,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",684,802,967,1409,1681,AZ,3251876
17,84,4,METRO39140M39140,"Prescott, AZ MSA",753,766,944,1375,1432,AZ,167517
18,85,4,METRO46060M46060,"Tucson, AZ MSA",570,669,875,1263,1418,AZ,843746
19,86,4,METRO49740M49740,"Yuma, AZ MSA",644,718,853,1216,1435,AZ,160026
20,95,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",520,549,699,1015,1087,AR,325364
21,96,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",409,463,583,788,871,AR,168318
22,98,5,METRO26300M26300,"Hot Springs, AR MSA",443,554,684,881,908,AR,88068
23,99,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",498,515,597,847,872,AR,82148
24,101,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",587,653,728,994,1082,AR,594054
25,103,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",702,761,847,1129,1186,AR,50866
26,104,5,METRO38220M38220,"Pine Bluff, AR MSA",437,517,634,775,869,AR,107341
27,105,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",532,533,654,823,899,AR,40443
28,161,6,METRO12540M12540,"Bakersfield, CA MSA",655,706,837,1221,1471,CA,661645
29,162,6,METRO17020M17020,"Chico, CA MSA",637,753,910,1282,1523,CA,203171
30,163,6,METRO20940M20940,"El Centro, CA MSA",666,750,884,1269,1550,CA,142361
31,164,6,METRO23420M23420,"Fresno, CA MSA",689,762,881,1281,1465,CA,799407
32,165,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",692,723,835,1217,1468,CA,129461
33,166,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",1023,1237,1550,2113,2601,CA,9519338
34,168,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",664,711,922,1323,1364,CA,123109
35,169,6,METRO32900M32900,"Merced, CA MSA",629,694,838,1220,1472,CA,210554
36,170,6,METRO33700M33700,"Modesto, CA MSA",779,845,989,1412,1682,CA,446997
37,171,6,METRO34900M34900,"Napa, CA MSA",995,1121,1413,2055,2477,CA,124279
38,172,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1117,1239,1566,2279,2628,CA,753197
39,173,6,METRO39820M39820,"Redding, CA MSA",626,713,866,1264,1523,CA,163256
40,174,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",938,1024,1195,1697,1984,CA,3254821
41,175,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",789,899,1072,1562,1820,CA,1628197
42,176,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",848,929,1099,1601,1930,CA,168660
43,177,6,METRO41500M41500,"Salinas, CA MSA",917,1029,1215,1768,1841,CA,401762
44,178,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1032,1177,1429,2083,2512,CA,2813833
45,179,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1040,1247,1477,2057,2524,CA,2392557
46,180,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1206,1479,1856,2463,2645,CA,1731183
47,181,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1165,1369,1616,2321,2545,CA,1682585
48,183,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",843,1005,1230,1791,1889,CA,246681
49,184,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1084,1223,1436,1812,2183,CA,399347
50,185,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1160,1363,1784,2598,2779,CA,255602
51,186,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",906,1096,1370,1995,2318,CA,458614
52,187,6,METRO44700M44700,"Stockton, CA MSA",728,819,1004,1388,1765,CA,563598
53,188,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",1046,1136,1301,1790,2166,CA,394542
