,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1607,37,METRO24140M24140,"Goldsboro, NC MSA",441,558,634,813,1007,NC,113329
1608,37,METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",629,691,769,1005,1060,NC,551502
1610,37,METRO24780M24780,"Greenville, NC HUD Metro FMR Area",531,535,671,947,976,NC,133798
1612,37,METRO25860M25860,"Hickory-Lenoir-Morganton, NC MSA",534,561,645,822,924,NC,341851
1613,37,METRO27340M27340,"Jacksonville, NC MSA",539,566,650,917,1133,NC,150355
1614,37,METRO39580M39580,"Raleigh-Cary, NC MSA",685,755,840,1089,1226,NC,797071
1615,37,METRO40580M40580,"Rocky Mount, NC MSA",434,503,608,807,832,NC,143026
1616,37,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",749,787,904,1247,1561,NC,18190
1617,37,METRO48900M48900,"Wilmington, NC HUD Metro FMR Area",611,680,821,1152,1186,NC,233450
1619,37,METRO49180M49180,"Winston-Salem, NC MSA",524,605,693,950,1150,NC,421961
1680,38,METRO13900M13900,"Bismarck, ND MSA",433,463,567,824,847,ND,94719
1732,39,METRO10420M10420,"Akron, OH MSA",529,613,793,1017,1049,OH,694960
1733,39,METRO15940M15940,"Canton-Massillon, OH MSA",468,518,659,839,892,OH,406934
1736,39,METRO17460M17460,"Cleveland-Elyria-Mentor, OH MSA",559,637,776,1017,1093,OH,2148143
1737,39,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",527,607,763,965,1091,OH,1571785
1739,39,METRO19380M19380,"Dayton, OH HUD Metro FMR Area",513,589,725,967,1158,OH,805816
1742,39,METRO30620M30620,"Lima, OH MSA",475,498,619,758,792,OH,108473
1743,39,METRO31900M31900,"Mansfield, OH MSA",401,489,619,813,913,OH,128852
1744,39,METRO37620M37620,"Parkersburg-Marietta-Vienna, WV-OH MSA",443,464,588,788,853,OH,63251
1745,39,METRO41780M41780,"Sandusky, OH MSA",439,538,674,899,941,OH,79551
1746,39,METRO44220M44220,"Springfield, OH MSA",490,547,662,872,1104,OH,144742
1747,39,METRO45780M45780,"Toledo, OH MSA",506,558,694,924,964,OH,659188
1748,39,METRO48260M48260,"Weirton-Steubenville, WV-OH MSA",393,452,572,719,751,OH,73894
1749,39,METRO48540M48540,"Wheeling, WV-OH MSA",362,442,559,716,836,OH,70226
1750,39,METRO49660M49660,"Youngstown-Warren-Boardman, OH HUD Metro FMR Area",458,511,624,786,862,OH,482671
1801,40,METRO30020M30020,"Lawton, OK MSA",454,489,604,881,1059,OK,114996
1802,40,METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",515,557,680,936,1061,OK,1017825
1805,40,METRO46140M46140,"Tulsa, OK HUD Metro FMR Area",531,573,714,955,1042,OK,803235
1868,41,METRO13460M13460,"Bend, OR MSA",561,653,768,1118,1170,OR,115367
1869,41,METRO18700M18700,"Corvallis, OR MSA",547,631,791,1151,1384,OR,78153
1870,41,METRO21660M21660,"Eugene-Springfield, OR MSA",516,630,795,1123,1277,OR,322959
1871,41,METRO32780M32780,"Medford, OR MSA",535,619,768,1114,1183,OR,181269
1872,41,METRO38900M38900,"Portland-Vancouver-Beaverton, OR-WA MSA",600,697,799,1163,1402,OR,1572771
1873,41,METRO41420M41420,"Salem, OR MSA",499,561,669,971,1172,OR,347214
1899,42,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",600,732,859,1128,1198,PA,637958
1900,42,METRO11020M11020,"Altoona, PA MSA",449,506,619,810,836,PA,129144
1901,42,METRO21500M21500,"Erie, PA MSA",458,519,674,826,886,PA,280843
1902,42,METRO25420M25420,"Harrisburg-Carlisle, PA MSA",554,614,770,976,1085,PA,509074
1903,42,METRO27780M27780,"Johnstown, PA MSA",413,453,546,675,749,PA,152598
1904,42,METRO29540M29540,"Lancaster, PA MSA",517,621,766,963,998,PA,470658
1905,42,METRO30140M30140,"Lebanon, PA MSA",443,528,681,943,971,PA,120327
1908,42,METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",548,597,720,912,974,PA,2358695
1910,42,METRO39740M39740,"Reading, PA MSA",557,619,773,1030,1064,PA,373638
1911,42,METRO42540M42540,"Scranton--Wilkes-Barre, PA MSA",490,557,667,860,901,PA,560625
1912,42,METRO44300M44300,"State College, PA MSA",622,710,858,1047,1078,PA,135758
1913,42,METRO48700M48700,"Williamsport, PA MSA",446,518,634,825,876,PA,120044
1914,42,METRO49620M49620,"York-Hanover, PA MSA",528,593,757,924,952,PA,381751
1915,42,METRO49660MM7610,"Sharon, PA HUD Metro FMR Area",488,496,630,757,853,PA,120293
1952,44,METRO39300MM5520,"Westerly-Hopkinton-New Shoreham, RI HUD Metro FMR Area",689,832,1058,1266,1484,RI,31812
1953,44,METRO39300N44005,"Newport-Middleton-Portsmouth, RI HUD Metro FMR Area",829,1008,1277,1808,2240,RI,60958
1954,45,METRO11340M11340,"Anderson, SC MSA",415,568,639,836,914,SC,165740
1956,45,METRO16700M16700,"Charleston-North Charleston, SC MSA",715,791,883,1163,1351,SC,549033
1958,45,METRO17900M17900,"Columbia, SC HUD Metro FMR Area",606,666,742,945,1032,SC,594511
1960,45,METRO22500M22500,"Florence, SC HUD Metro FMR Area",443,508,595,720,910,SC,125761
1962,45,METRO24860M24860,"Greenville-Mauldin-Easley, SC MSA",584,627,704,942,1015,SC,490373
1964,45,METRO34820M34820,"Myrtle Beach-Conway-North Myrtle Beach, SC MSA",623,700,822,1043,1160,SC,196629
1965,45,METRO43900M43900,"Spartanburg, SC MSA",569,587,686,858,882,SC,253791
1966,45,METRO44940M44940,"Sumter, SC MSA",500,544,602,777,854,SC,104646
1992,46,METRO39660M39660,"Rapid City, SD HUD Metro FMR Area",533,578,734,978,1007,SD,88565
1995,46,METRO43620M43620,"Sioux Falls, SD MSA",541,556,702,906,1064,SD,187093
2058,47,METRO17420M17420,"Cleveland, TN MSA",449,472,608,779,988,TN,104015
2059,47,METRO27180M27180,"Jackson, TN MSA",490,542,683,943,968,TN,107377
2060,47,METRO27740M27740,"Johnson City, TN MSA",384,467,584,723,929,TN,181607
2061,47,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",450,449,561,772,936,TN,206611
2062,47,METRO28940M28940,"Knoxville, TN MSA",491,570,687,942,1002,TN,616079
2064,47,METRO34100M34100,"Morristown, TN MSA",455,457,553,738,886,TN,123081
2065,47,METRO34980M34980,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",591,659,759,1002,1073,TN,1251396
2126,48,METRO10180M10180,"Abilene, TX MSA",479,509,641,842,1070,TX,160245
2127,48,METRO11100M11100,"Amarillo, TX MSA",517,533,667,922,1044,TX,226522
2128,48,METRO12420M12420,"Austin-Round Rock, TX MSA",672,766,935,1272,1471,TX,1249763
