,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",495,518,681,880,916,AL,118572
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",515,519,702,967,1186,AL,140247
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",605,723,857,1126,1266,AL,1017381
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",580,680,806,1110,1428,AL,52947
4,6,1,METRO19460M19460,"Decatur, AL MSA",457,552,655,908,936,AL,153829
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",429,459,591,788,974,AL,128337
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",474,477,609,813,816,AL,147137
7,10,1,METRO23460M23460,"Gadsden, AL MSA",422,545,710,884,997,AL,104430
8,11,1,METRO26620M26620,"Huntsville, AL MSA",508,568,701,964,1019,AL,417593
9,12,1,METRO33660M33660,"Mobile, AL MSA",665,694,823,1103,1268,AL,412992
10,13,1,METRO33860M33860,"Montgomery, AL MSA",685,724,860,1183,1406,AL,374536
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",494,628,831,1043,1184,AL,219461
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",780,903,1156,1703,2047,AK,291826
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",741,920,1245,1835,2138,AK,97581
14,76,2,NCNTY02230N02230,"Skagway Municipality, AK",860,1010,1197,1491,1728,AK,968
15,83,4,METRO22380M22380,"Flagstaff, AZ MSA",789,917,1148,1457,1857,AZ,134421
16,84,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",521,643,821,1113,1288,AZ,200186
17,85,4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",593,748,925,1363,1592,AZ,4192887
18,86,4,METRO39140M39140,"Prescott, AZ MSA",610,692,875,1289,1363,AZ,211033
19,87,4,METRO46060M46060,"Tucson, AZ MSA",521,651,876,1286,1531,AZ,980263
20,88,4,METRO49740M49740,"Yuma, AZ MSA",598,639,844,1244,1424,AZ,195751
21,97,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",479,548,704,1037,1223,AR,440121
22,98,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",538,541,709,945,1065,AR,187692
23,100,5,METRO26300M26300,"Hot Springs, AR MSA",459,570,771,1026,1259,AR,96024
24,101,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",403,536,663,931,935,AR,96443
25,103,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",572,661,794,1110,1232,AR,681904
26,105,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",610,697,826,1129,1258,AR,50902
27,106,5,METRO38220M38220,"Pine Bluff, AR MSA",448,527,701,878,1074,AR,100258
28,107,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",475,616,757,943,1012,AR,43462
29,163,6,METRO12540M12540,"Bakersfield-Delano, CA MSA",649,653,855,1254,1514,CA,839631
30,164,6,METRO17020M17020,"Chico, CA MSA",564,707,931,1329,1649,CA,220000
31,165,6,METRO20940M20940,"El Centro, CA MSA",548,667,862,1270,1527,CA,174528
32,166,6,METRO23420M23420,"Fresno, CA MSA",709,737,931,1308,1527,CA,930450
33,167,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",516,611,827,1176,1236,CA,152982
34,168,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",988,1195,1542,2085,2323,CA,9818605
35,170,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",689,694,939,1364,1496,CA,150865
36,171,6,METRO32900M32900,"Merced, CA MSA",536,621,817,1204,1447,CA,255793
37,172,6,METRO33700M33700,"Modesto, CA MSA",628,775,994,1465,1700,CA,514453
38,173,6,METRO34900M34900,"Napa, CA MSA",835,1047,1401,1999,2006,CA,136484
39,174,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1003,1198,1609,2222,2572,CA,823318
40,175,6,METRO39820M39820,"Redding, CA MSA",796,819,1029,1516,1690,CA,177223
41,176,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",763,879,1116,1577,1924,CA,4224851
42,177,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",717,855,1073,1581,1900,CA,1948278
43,178,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",802,866,1170,1724,2011,CA,200849
