,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
2138,48,METRO26420M26420,"Houston-Baytown-Sugar Land, TX HUD Metro FMR Area",569,633,768,1024,1287,TX,4450050
2141,48,METRO28660M28660,"Killeen-Temple-Fort Hood, TX HUD Metro FMR Area",496,529,669,974,1175,TX,312952
2143,48,METRO29700M29700,"Laredo, TX MSA",462,514,611,848,993,TX,193117
2144,48,METRO30980M30980,"Longview, TX HUD Metro FMR Area",489,510,588,807,831,TX,146670
2146,48,METRO31180M31180,"Lubbock, TX MSA",430,527,659,938,981,TX,249700
2147,48,METRO32580M32580,"McAllen-Edinburg-Mission, TX MSA",551,591,692,835,958,TX,569463
2148,48,METRO33260M33260,"Midland, TX MSA",427,452,596,869,1045,TX,116009
2149,48,METRO36220M36220,"Odessa, TX MSA",385,419,553,789,854,TX,121123
2150,48,METRO41660M41660,"San Angelo, TX MSA",422,480,610,874,1013,TX,105781
2151,48,METRO41700M41700,"San Antonio, TX HUD Metro FMR Area",555,613,761,1014,1219,TX,1610028
2155,48,METRO43300M43300,"Sherman-Denison, TX MSA",555,562,669,912,983,TX,110595
2157,48,METRO46340M46340,"Tyler, TX MSA",494,567,668,923,955,TX,174706
2158,48,METRO47020M47020,"Victoria, TX HUD Metro FMR Area",442,516,643,828,931,TX,91016
2160,48,METRO47380M47380,"Waco, TX MSA",534,535,670,855,883,TX,213517
2161,48,METRO48660M48660,"Wichita Falls, TX MSA",472,504,604,848,893,TX,151524
2340,49,METRO36260M36260,"Ogden-Clearfield, UT MSA",455,560,672,919,1111,UT,442656
2341,49,METRO39340M39340,"Provo-Orem, UT MSA",569,612,709,1031,1241,UT,376774
2342,49,METRO41100M41100,"St. George, UT MSA",554,571,696,999,1178,UT,90354
2343,49,METRO41620M41620,"Salt Lake City, UT HUD Metro FMR Area",574,630,746,1067,1247,UT,898387
2365,50,METRO15540M15540,"Burlington-South Burlington, VT MSA",734,818,1037,1360,1637,VT,198889
2378,51,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",527,572,635,881,1114,VA,99488
2380,51,METRO16820M16820,"Charlottesville, VA MSA",600,720,835,1100,1389,VA,174021
2381,51,METRO19260M19260,"Danville, VA MSA",432,433,560,698,720,VA,110156
2382,51,METRO25500M25500,"Harrisonburg, VA MSA",466,535,637,917,991,VA,108193
2384,51,METRO31340M31340,"Lynchburg, VA MSA",483,486,583,752,858,VA,228616
2385,51,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",651,705,788,1051,1255,VA,1071330
2387,51,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",498,502,653,872,948,VA,241023
2392,51,METRO49020M49020,"Winchester, VA-WV MSA",501,536,708,984,1013,VA,82794
2437,53,METRO13380M13380,"Bellingham, WA MSA",558,618,773,1129,1334,WA,166814
2438,53,METRO14740M14740,"Bremerton-Silverdale, WA MSA",635,681,829,1181,1312,WA,231969
2439,53,METRO28420M28420,"Kennewick-Richland-Pasco, WA MSA",501,552,686,938,1092,WA,191822
2441,53,METRO31020M31020,"Longview, WA MSA",440,551,630,918,1034,WA,92948
2442,53,METRO34580M34580,"Mount Vernon-Anacortes, WA MSA",607,686,870,1206,1429,WA,102979
2443,53,METRO36500M36500,"Olympia, WA MSA",570,643,801,1153,1407,WA,207355
