,Unnamed: 0,Unnamed: 0.1,State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
143,615,616,18,4520,474.0,540.0,639.0,913.0,957.0,"Louisville, KY--IN MSA",4520,IN,224580
144,616,617,18,5280,438.0,461.0,571.0,752.0,842.0,"Muncie, IN MSA",5280,IN,118769
145,618,619,18,7800,485.0,542.0,670.0,845.0,871.0,"South Bend, IN MSA",7800,IN,265559
146,619,620,18,8320,380.0,423.0,549.0,687.0,832.0,"Terre Haute, IN MSA",8320,IN,149192
147,675,676,19,1360,407.0,478.0,628.0,916.0,1103.0,"Cedar Rapids, IA MSA",1360,IA,191701
149,677,678,19,2120,479.0,573.0,691.0,891.0,980.0,"Des Moines, IA MSA",2120,IA,456022
150,678,679,19,2200,377.0,408.0,538.0,727.0,825.0,"Dubuque, IA MSA",2200,IA,89143
151,679,680,19,3500,451.0,534.0,679.0,987.0,1190.0,"Iowa City, IA MSA",3500,IA,111006
152,680,681,19,5920,491.0,557.0,688.0,943.0,990.0,"Omaha, NE--IA MSA",5920,IA,87704
153,681,682,19,7720,404.0,474.0,622.0,784.0,854.0,"Sioux City, IA--NE MSA",7720,IA,103877
154,682,683,19,8920,387.0,484.0,575.0,710.0,1011.0,"Waterloo--Cedar Falls, IA MSA",8920,IA,128012
155,772,773,20,3760,499.0,601.0,691.0,938.0,989.0,"Kansas City, MO--KS MSA",3760,KS,706010
156,773,774,20,4150,488.0,516.0,666.0,971.0,1169.0,"Lawrence, KS MSA",4150,KS,99962
157,774,775,20,8440,449.0,490.0,589.0,793.0,840.0,"Topeka, KS MSA",8440,KS,169871
158,775,776,20,9040,429.0,481.0,624.0,806.0,908.0,"Wichita, KS MSA",9040,KS,545220
160,873,874,21,1660,482.0,496.0,583.0,847.0,871.0,"Clarksville--Hopkinsville, TN--KY MSA",1660,KY,72265
162,877,878,21,3400,362.0,426.0,514.0,638.0,689.0,"Huntington--Ashland, WV--KY--OH MSA",3400,KY,113532
163,878,879,21,4280,425.0,507.0,608.0,842.0,906.0,"Lexington, KY MSA",4280,KY,479198
165,880,881,21,5990,357.0,412.0,531.0,760.0,851.0,"Owensboro, KY MSA",5990,KY,91545
166,980,981,22,220,427.0,432.0,515.0,690.0,712.0,"Alexandria, LA MSA",220,LA,126337
167,981,982,22,760,482.0,523.0,608.0,791.0,960.0,"Baton Rouge, LA MSA",760,LA,602894
168,982,983,22,3350,436.0,437.0,539.0,715.0,806.0,"Houma, LA MSA",3350,LA,194477
169,983,984,22,3880,442.0,480.0,535.0,645.0,869.0,"Lafayette, LA MSA",3880,LA,385647
170,984,985,22,3960,431.0,475.0,576.0,731.0,1010.0,"Lake Charles, LA MSA",3960,LA,183577
171,985,986,22,5200,407.0,437.0,552.0,720.0,743.0,"Monroe, LA MSA",5200,LA,147250
172,986,987,22,5560,545.0,602.0,711.0,926.0,1006.0,"New Orleans, LA MSA",5560,LA,1316510
174,988,989,22,7680,449.0,492.0,586.0,750.0,787.0,"Shreveport--Bossier City, LA MSA",7680,LA,392302
215,1029,1030,23,730,454.0,529.0,678.0,865.0,956.0,"Bangor, ME MSA",730,ME,90864
216,1030,1031,23,4240,380.0,468.0,586.0,717.0,807.0,"Lewiston--Auburn, ME MSA",4240,ME,90830
217,1031,1032,23,6400,606.0,732.0,936.0,1201.0,1246.0,"Portland, ME MSA",6400,ME,243537
218,1032,1033,23,6450,694.0,790.0,983.0,1344.0,1464.0,"Portsmouth--Rochester, NH--ME PMSA",6450,ME,41375
219,1049,1050,24,720,662.0,750.0,900.0,1155.0,1428.0,"Baltimore, MD PMSA",720,MD,2464740
220,1050,1051,24,721,,,,,,"Columbia, MD MSA**",721,MD,88254
221,1051,1052,24,1900,347.0,393.0,470.0,618.0,778.0,"Cumberland, MD--WV MSA",1900,MD,74930
222,1052,1053,24,3180,468.0,516.0,654.0,933.0,960.0,"Hagerstown, MD PMSA",3180,MD,131923
225,1064,1065,25,740,625.0,746.0,960.0,1150.0,1182.0,"Barnstable--Yarmouth, MA MSA",740,MA,162582
226,1065,1066,25,1120,1066.0,1120.0,1308.0,1593.0,1898.0,"Boston, MA--NH PMSA",1120,MA,3398051
227,1066,1067,25,1200,853.0,914.0,1136.0,1359.0,1649.0,"Brockton, MA PMSA",1200,MA,255459
228,1067,1068,25,2600,596.0,657.0,828.0,1022.0,1109.0,"Fitchburg--Leominster, MA PMSA",2600,MA,142284
229,1068,1069,25,4160,699.0,878.0,1075.0,1284.0,1323.0,"Lawrence, MA--NH PMSA",4160,MA,264873
230,1069,1070,25,4560,749.0,884.0,1152.0,1381.0,1515.0,"Lowell, MA--NH PMSA",4560,MA,290772
