,Unnamed: 0,Unnamed: 0.1,State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
395,2201,2202,48,7240,519.0,574.0,716.0,957.0,1139.0,"San Antonio, TX MSA",7240,TX,1592383
396,2202,2203,48,7640,518.0,524.0,625.0,852.0,919.0,"Sherman--Denison, TX MSA",7640,TX,110595
398,2204,2205,48,8640,462.0,530.0,622.0,860.0,893.0,"Tyler, TX MSA",8640,TX,174706
399,2205,2206,48,8750,449.0,488.0,621.0,790.0,945.0,"Victoria, TX MSA",8750,TX,84088
400,2206,2207,48,8800,497.0,499.0,626.0,800.0,825.0,"Waco, TX MSA",8800,TX,213517
401,2207,2208,48,9080,440.0,473.0,569.0,800.0,856.0,"Wichita Falls, TX MSA",9080,TX,140518
402,2405,2406,49,6520,533.0,572.0,663.0,966.0,1164.0,"Provo--Orem, UT MSA",6520,UT,368536
403,2406,2407,49,7160,570.0,634.0,747.0,1052.0,1225.0,"Salt Lake City--Ogden, UT MSA",7160,UT,1333914
404,2431,2432,50,1305,607.0,677.0,865.0,1156.0,1377.0,"Burlington, VT MSA",1305,VT,169391
405,2446,2447,51,1540,560.0,676.0,782.0,1040.0,1303.0,"Charlottesville, VA MSA",1540,VA,159576
406,2449,2450,51,1950,404.0,405.0,523.0,652.0,672.0,"Danville, VA MSA",1950,VA,110156
408,2452,2453,51,4640,452.0,453.0,546.0,720.0,812.0,"Lynchburg, VA MSA",4640,VA,214911
410,2454,2455,51,6760,668.0,721.0,810.0,1086.0,1301.0,"Richmond--Petersburg, VA MSA",6760,VA,996512
411,2455,2456,51,6800,463.0,476.0,626.0,867.0,921.0,"Roanoke, VA MSA",6800,VA,235932
413,2517,2518,53,860,525.0,578.0,724.0,1056.0,1248.0,"Bellingham, WA MSA",860,WA,166814
414,2518,2519,53,1150,621.0,666.0,811.0,1157.0,1285.0,"Bremerton, WA PMSA",1150,WA,231969
415,2519,2520,53,5910,557.0,630.0,784.0,1128.0,1376.0,"Olympia, WA PMSA",5910,WA,207355
417,2521,2522,53,6740,470.0,516.0,643.0,878.0,1021.0,"Richland--Kennewick--Pasco, WA MSA",6740,WA,191822
418,2522,2523,53,7600,654.0,745.0,894.0,1271.0,1569.0,"Seattle--Bellevue--Everett, WA PMSA",7600,WA,2414616
419,2523,2524,53,7840,425.0,491.0,647.0,884.0,1033.0,"Spokane, WA MSA",7840,WA,417939
420,2524,2525,53,8200,532.0,619.0,774.0,1129.0,1269.0,"Tacoma, WA PMSA",8200,WA,700820
421,2525,2526,53,9260,448.0,533.0,674.0,900.0,1019.0,"Yakima, WA MSA",9260,WA,222581
422,2554,2555,54,1480,453.0,462.0,572.0,772.0,795.0,"Charleston, WV MSA",1480,WV,251662
428,2604,2605,55,460,456.0,487.0,596.0,821.0,949.0,"Appleton--Oshkosh--Neenah, WI MSA",460,WI,358365
430,2606,2607,55,2290,423.0,447.0,567.0,789.0,888.0,"Eau Claire, WI MSA",2290,WI,148337
431,2607,2608,55,3080,468.0,489.0,622.0,893.0,929.0,"Green Bay, WI MSA",3080,WI,226778
432,2608,2609,55,3620,472.0,523.0,652.0,852.0,878.0,"Janesville--Beloit, WI MSA",3620,WI,152307
433,2609,2610,55,3800,607.0,608.0,759.0,1031.0,1175.0,"Kenosha, WI PMSA",3800,WI,149577
435,2611,2612,55,4720,530.0,660.0,788.0,1102.0,1384.0,"Madison, WI MSA",4720,WI,426526
436,2612,2613,55,5080,519.0,619.0,737.0,931.0,958.0,"Milwaukee--Waukesha, WI PMSA",5080,WI,1500741
438,2614,2615,55,6600,467.0,561.0,694.0,870.0,937.0,"Racine, WI PMSA",6600,WI,188831
439,2615,2616,55,7620,394.0,475.0,565.0,721.0,871.0,"Sheboygan, WI MSA",7620,WI,112646
440,2616,2617,55,8940,398.0,473.0,576.0,771.0,843.0,"Wausau, WI MSA",8940,WI,125834
441,2669,2670,56,1350,356.0,387.0,488.0,712.0,858.0,"Casper, WY MSA",1350,WY,66533
442,2670,2671,56,1580,414.0,445.0,557.0,795.0,979.0,"Cheyenne, WY MSA",1580,WY,81607
443,2692,2693,66,660000010,723.0,783.0,936.0,1363.0,1642.0,Pacific Islands,9999,GU,154805
444,2693,2694,72,60,282.0,306.0,339.0,426.0,597.0,"Aguadilla, PR MSA",60,PR,146424
445,2694,2695,72,470,286.0,310.0,345.0,465.0,539.0,"Arecibo, PR PMSA",470,PR,174300
446,2695,2696,72,1310,325.0,352.0,391.0,517.0,609.0,"Caguas, PR PMSA",1310,PR,308365
447,2696,2697,72,4840,325.0,352.0,391.0,485.0,633.0,"Mayagüez, PR MSA",4840,PR,253347
448,2697,2698,72,6360,296.0,323.0,358.0,501.0,602.0,"Ponce, PR MSA",6360,PR,361094
449,2698,2699,72,7440,378.0,410.0,455.0,607.0,733.0,"San Juan--Bayamón, PR PMSA",7440,PR,1967627
450,2699,2700,72,720000923,270.0,295.0,327.0,429.0,468.0,Adjuntas Municipio,9999,PR,597453
451,2700,2701,78,780000010,500.0,524.0,629.0,810.0,963.0,St. Croix Island,9999,VI,53234
452,2701,2702,78,780000923,566.0,675.0,871.0,1106.0,1139.0,St. John/St. Thomas,9999,VI,55378
