,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",493,544,676,893,1050,AL,112249.0
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",487,580,748,984,1011,AL,115092.0
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",656,729,813,1032,1062,AL,941932.0
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",602,635,726,966,1143,AL,49756.0
4,6,1,METRO19460M19460,"Decatur, AL MSA",477,535,616,806,836,AL,145867.0
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",464,546,618,790,903,AL,114551.0
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",511,513,623,794,985,AL,142950.0
7,10,1,METRO23460M23460,"Gadsden, AL MSA",428,541,657,842,869,AL,103459.0
8,11,1,METRO26620M26620,"Huntsville, AL MSA",554,603,712,975,1070,AL,342376.0
9,12,1,METRO33660M33660,"Mobile, AL MSA",638,683,771,1010,1192,AL,399843.0
10,13,1,METRO33860M33860,"Montgomery, AL MSA",587,694,781,1036,1368,AL,346528.0
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",532,615,796,1023,1055,AL,192034.0
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",740,842,1056,1521,1852,AK,260283.0
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",698,840,1074,1555,1642,AK,82840.0
14,76,2,NCNTY02230N02230,"Skagway Municipality, AK",728,828,1049,1297,1336,AK,644.25
15,83,4,METRO22380M22380,"Flagstaff, AZ MSA",707,841,950,1222,1541,AZ,116320.0
16,84,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",636,699,815,1127,1258,AZ,155032.0
17,85,4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",619,721,870,1267,1483,AZ,3251876.0
18,86,4,METRO39140M39140,"Prescott, AZ MSA",647,668,843,1228,1265,AZ,167517.0
19,87,4,METRO46060M46060,"Tucson, AZ MSA",570,670,860,1238,1309,AZ,843746.0
20,88,4,METRO49740M49740,"Yuma, AZ MSA",564,665,795,1127,1382,AZ,160026.0
21,97,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",515,543,679,989,1016,AR,325364.0
22,98,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",417,474,590,786,856,AR,168318.0
23,100,5,METRO26300M26300,"Hot Springs, AR MSA",422,524,652,814,839,AR,88068.0
24,101,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",495,516,595,837,863,AR,82148.0
25,103,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",563,640,713,955,985,AR,594054.0
26,105,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",639,695,772,1028,1061,AR,50866.0
27,106,5,METRO38220M38220,"Pine Bluff, AR MSA",405,480,602,722,857,AR,107341.0
28,107,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",532,538,662,808,878,AR,40443.0
29,163,6,METRO12540M12540,"Bakersfield-Delano, CA MSA",598,644,768,1110,1330,CA,661645.0
30,164,6,METRO17020M17020,"Chico, CA MSA",675,802,968,1365,1629,CA,203171.0
31,165,6,METRO20940M20940,"El Centro, CA MSA",574,650,801,1102,1404,CA,142361.0
32,166,6,METRO23420M23420,"Fresno, CA MSA",668,736,869,1264,1362,CA,799407.0
33,167,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",703,748,869,1267,1527,CA,129461.0
34,168,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",1032,1245,1554,2087,2511,CA,9519338.0
35,170,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",643,675,861,1252,1291,CA,123109.0
36,171,6,METRO32900M32900,"Merced, CA MSA",608,693,842,1201,1402,CA,210554.0
37,172,6,METRO33700M33700,"Modesto, CA MSA",781,863,1016,1457,1682,CA,446997.0
38,173,6,METRO34900M34900,"Napa, CA MSA",971,1088,1413,1954,2220,CA,124279.0
39,174,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1075,1187,1510,2164,2475,CA,753197.0
40,175,6,METRO39820M39820,"Redding, CA MSA",647,754,917,1338,1612,CA,163256.0
41,176,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",886,974,1149,1617,1886,CA,3254821.0
42,177,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",736,837,1021,1473,1689,CA,1628197.0
43,178,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",832,880,1076,1568,1668,CA,168660.0
44,179,6,METRO41500M41500,"Salinas, CA MSA",991,1116,1281,1810,1896,CA,401762.0
45,180,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1054,1206,1476,2099,2593,CA,2813833.0
46,181,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1066,1287,1525,2068,2560,CA,2392557.0
47,182,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1339,1646,2060,2750,2907,CA,1731183.0
48,183,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1249,1447,1739,2501,2753,CA,1682585.0
49,185,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",873,1033,1258,1833,1886,CA,246681.0
50,186,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1212,1353,1519,2001,2283,CA,399347.0
51,187,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1058,1248,1627,2341,2413,CA,255602.0
52,188,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",814,991,1251,1775,2075,CA,458614.0
53,189,6,METRO44700M44700,"Stockton, CA MSA",680,776,957,1314,1655,CA,563598.0
54,190,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",1068,1149,1318,1848,2276,CA,394542.0
55,191,6,METRO47300M47300,"Visalia-Porterville, CA MSA",603,674,784,1121,1152,CA,368021.0
56,192,6,METRO49700M49700,"Yuba City, CA MSA",658,742,913,1328,1422,CA,139149.0
57,214,8,METRO14500M14500,"Boulder, CO MSA",718,832,1044,1522,1825,CO,269814.0
58,215,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",570,640,808,1153,1364,CO,516929.0
59,217,8,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",659,751,951,1350,1574,CO,2179240.0
60,218,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",546,654,793,1155,1346,CO,251494.0
61,219,8,METRO24300M24300,"Grand Junction, CO MSA",602,604,725,1056,1276,CO,116255.0
62,220,8,METRO24540M24540,"Greeley, CO MSA",570,604,739,1078,1272,CO,180926.0
63,221,8,METRO39380M39380,"Pueblo, CO MSA",485,511,671,879,994,CO,141472.0
64,269,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",863,1115,1329,1588,1928,CT,345708.0
65,270,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1026,1246,1581,1892,2346,CT,183303.0
66,271,9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1231,1499,1874,2442,2950,CT,353556.0
67,272,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",709,849,1038,1247,1548,CT,1101732.0
68,274,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",1079,1251,1399,1781,1956,CT,113771.0
69,275,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",987,1119,1352,1618,1850,CT,523037.0
70,276,9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",738,955,1135,1359,1414,CT,187200.0
71,277,9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",880,1045,1209,1480,1635,CT,237630.0
72,278,9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",769,903,1185,1417,1462,CT,21458.0
73,281,10,METRO20100M20100,"Dover, DE MSA",729,793,878,1148,1542,DE,126697.0
74,282,10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",788,899,1075,1315,1586,DE,500265.0
75,284,11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1166,1328,1506,1943,2542,DC,572059.0
76,285,12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",779,841,958,1302,1340,FL,440888.0
77,286,12,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL MSA",672,787,885,1291,1418,FL,170498.0
78,287,12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",619,723,899,1162,1197,FL,443343.0
79,288,12,METRO23540M23540,"Gainesville, FL MSA",687,758,863,1262,1301,FL,232392.0
80,289,12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",712,810,943,1183,1356,FL,1100491.0
81,291,12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",645,711,819,1038,1219,FL,483924.0
82,292,12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",883,988,1187,1642,2084,FL,1623018.0
83,293,12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",874,990,1201,1536,1795,FL,2253362.0
84,294,12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",823,964,1138,1609,1658,FL,1131184.0
85,295,12,METRO34940M34940,"Naples-Marco Island, FL MSA",852,976,1099,1366,1422,FL,251377.0
86,296,12,METRO35840M35840,"North Port-Bradenton-Sarasota, FL MSA",755,827,995,1271,1396,FL,589959.0
87,297,12,METRO36100M36100,"Ocala, FL MSA",639,659,773,1015,1045,FL,258916.0
88,298,12,METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",802,872,996,1247,1468,FL,1644561.0
89,299,12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",616,754,888,1196,1334,FL,476230.0
90,300,12,METRO37380M37380,"Palm Coast, FL MSA",637,735,925,1295,1381,FL,49832.0
91,301,12,METRO37460M37460,"Panama City-Lynn Haven-Panama City Beach, FL MSA",718,757,867,1197,1332,FL,148217.0
92,302,12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",652,710,788,1142,1381,FL,412153.0
93,303,12,METRO38940M38940,"Port St. Lucie, FL MSA",769,771,977,1292,1331,FL,319426.0
94,304,12,METRO39460M39460,"Punta Gorda, FL MSA",663,695,901,1315,1583,FL,141627.0
95,305,12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",586,706,901,1122,1154,FL,112947.0
96,306,12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",626,696,859,1146,1179,FL,297441.0
97,308,12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",724,804,972,1232,1487,FL,2395997.0
98,337,13,METRO10500M10500,"Albany, GA MSA",491,524,615,825,852,GA,157833.0
99,339,13,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",741,803,893,1087,1186,GA,4164323.0
100,345,13,METRO15260M15260,"Brunswick, GA MSA",627,681,756,1077,1328,GA,93044.0
101,346,13,METRO16860M16860,"Chattanooga, TN-GA MSA",546,577,680,837,984,GA,129489.0
103,348,13,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",535,581,643,795,819,GA,83525.0
104,350,13,METRO23580M23580,"Gainesville, GA MSA",678,711,820,1007,1168,GA,139277.0
105,351,13,METRO25980M25980,"Hinesville-Fort Stewart, GA HUD Metro FMR Area",571,620,690,971,1105,GA,61610.0
106,353,13,METRO31420M31420,"Macon, GA MSA",579,628,698,861,897,GA,200611.0
107,355,13,METRO40660M40660,"Rome, GA MSA",532,542,699,858,886,GA,90565.0
108,356,13,METRO42340M42340,"Savannah, GA MSA",715,774,862,1144,1181,GA,293000.0
109,357,13,METRO46660M46660,"Valdosta, GA MSA",566,568,683,926,955,GA,119560.0
110,358,13,METRO47580M47580,"Warner Robins, GA MSA",640,652,774,1123,1292,GA,110765.0
111,448,15,METRO26180M26180,"Honolulu, HI MSA",1235,1449,1767,2564,2870,HI,876156.0
112,453,16,METRO14260M14260,"Boise City-Nampa, ID HUD Metro FMR Area",516,612,722,1050,1116,ID,449659.0
113,455,16,METRO17660M17660,"Coeur d'Alene, ID MSA",556,600,722,1050,1174,ID,108685.0
114,456,16,METRO26820M26820,"Idaho Falls, ID MSA",468,493,629,862,1083,ID,101677.0
115,457,16,METRO30300M30300,"Lewiston, ID-WA MSA",487,506,633,899,1095,ID,37410.0
116,458,16,METRO30860M30860,"Logan, UT-ID MSA",484,522,653,876,1081,ID,11329.0
117,459,16,METRO38540M38540,"Pocatello, ID MSA",382,445,573,828,971,ID,83103.0
118,492,17,METRO14060M14060,"Bloomington-Normal, IL MSA",561,620,783,1047,1309,IL,150433.0
119,493,17,METRO16020M16020,"Cape Girardeau-Jackson, MO-IL MSA",421,480,627,811,997,IL,9590.0
120,494,17,METRO16580M16580,"Champaign-Urbana, IL MSA",586,713,839,1053,1446,IL,210275.0
121,495,17,METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",801,917,1030,1259,1422,IL,8091720.0
122,499,17,METRO19180M19180,"Danville, IL MSA",434,519,668,800,848,IL,83919.0
123,500,17,METRO19340M19340,"Davenport-Moline-Rock Island, IA-IL MSA",496,553,697,889,926,IL,217351.0
124,501,17,METRO19500M19500,"Decatur, IL MSA",451,537,681,908,936,IL,114706.0
125,502,17,METRO28100M28100,"Kankakee-Bradley, IL MSA",562,612,807,1047,1122,IL,103833.0
126,503,17,METRO37900M37900,"Peoria, IL MSA",501,593,738,951,1079,IL,366899.0
127,504,17,METRO40420M40420,"Rockford, IL MSA",541,610,773,1011,1041,IL,320204.0
128,505,17,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",622,675,838,1079,1130,IL,604929.0
129,508,17,METRO44100M44100,"Springfield, IL MSA",485,570,737,962,1074,IL,201437.0
130,574,18,METRO11300M11300,"Anderson, IN MSA",589,590,709,912,949,IN,133358.0
131,575,18,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",559,648,790,1123,1160,IN,120563.0
132,578,18,METRO16980MM2960,"Gary, IN HUD Metro FMR Area",534,665,811,969,1000,IN,645928.0
133,580,18,METRO17140M17140,"Cincinnati-Middleton, OH-KY-IN HUD Metro FMR Area",507,600,777,1040,1080,IN,73883.0
134,581,18,METRO18020M18020,"Columbus, IN MSA",663,665,798,978,1047,IN,71435.0
135,582,18,METRO21140M21140,"Elkhart-Goshen, IN MSA",555,619,765,962,1008,IN,182791.0
136,583,18,METRO21780M21780,"Evansville, IN-KY HUD Metro FMR Area",501,585,727,897,975,IN,251366.0
137,585,18,METRO23060M23060,"Fort Wayne, IN MSA",526,559,699,872,896,IN,390156.0
138,586,18,METRO26900M26900,"Indianapolis, IN HUD Metro FMR Area",581,673,799,1034,1094,IN,1489085.0
139,588,18,METRO29020M29020,"Kokomo, IN MSA",551,557,707,901,928,IN,101541.0
140,589,18,METRO29140M29140,"Lafayette, IN HUD Metro FMR Area",545,644,791,1030,1178,IN,158376.0
141,591,18,METRO31140M31140,"Louisville, KY-IN HUD Metro FMR Area",511,591,701,979,1040,IN,201620.0
142,593,18,METRO33140M33140,"Michigan City-La Porte, IN MSA",499,576,731,971,999,IN,110106.0
143,594,18,METRO34620M34620,"Muncie, IN MSA",546,558,675,909,954,IN,118769.0
144,595,18,METRO43780M43780,"South Bend-Mishawaka, IN HUD Metro FMR Area",584,650,782,1003,1033,IN,265559.0
145,596,18,METRO45460M45460,"Terre Haute, IN HUD Metro FMR Area",458,521,671,827,952,IN,149192.0
146,644,19,METRO11180M11180,"Ames, IA MSA",585,617,763,1092,1292,IA,79981.0
147,645,19,METRO16300M16300,"Cedar Rapids, IA HUD Metro FMR Area",449,523,689,976,1109,IA,191701.0
149,649,19,METRO19780M19780,"Des Moines-West Des Moines, IA MSA",531,634,773,990,1103,IA,481394.0
150,650,19,METRO20220M20220,"Dubuque, IA MSA",448,482,634,852,928,IA,89143.0
151,651,19,METRO26980MM3500,"Iowa City, IA HUD Metro FMR Area",528,630,794,1157,1354,IA,111006.0
152,653,19,METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",558,634,791,1056,1086,IA,117917.0
153,654,19,METRO43580M43580,"Sioux City, IA-NE-SD MSA",443,520,682,859,884,IA,103877.0
154,655,19,METRO47940M47940,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",448,551,659,809,990,IA,140381.0
155,736,20,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",584,701,805,1089,1146,KS,715580.0
156,738,20,METRO29940M29940,"Lawrence, KS MSA",586,602,774,1130,1359,KS,99962.0
157,739,20,METRO31740M31740,"Manhattan, KS MSA",514,592,719,1001,1177,KS,108999.0
158,740,20,METRO41140M41140,"St. Joseph, MO-KS MSA",423,523,650,818,970,KS,8249.0
159,741,20,METRO45820M45820,"Topeka, KS MSA",521,568,695,881,926,KS,224551.0
160,742,20,METRO48620M48620,"Wichita, KS HUD Metro FMR Area",464,520,683,874,982,KS,545220.0
161,829,21,METRO14540M14540,"Bowling Green, KY MSA",462,552,671,894,1054,KY,104166.0
163,832,21,METRO17300M17300,"Clarksville, TN-KY HUD Metro FMR Area",589,612,711,1028,1058,KY,84862.0
164,833,21,METRO21060M21060,"Elizabethtown, KY MSA",451,502,606,862,1061,KY,107547.0
166,835,21,METRO26580M26580,"Huntington-Ashland, WV-KY-OH MSA",439,520,624,769,795,KY,86643.0
167,836,21,METRO30460M30460,"Lexington-Fayette, KY MSA",477,573,707,950,980,KY,408326.0
169,841,21,METRO36980M36980,"Owensboro, KY MSA",426,473,623,864,915,KY,109875.0
170,927,22,METRO10780M10780,"Alexandria, LA MSA",538,582,693,902,927,LA,145035.0
171,928,22,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",593,645,745,950,1044,LA,672653.0
172,930,22,METRO26380M26380,"Houma-Bayou Cane-Thibodaux, LA MSA",591,596,739,970,1106,LA,194477.0
173,931,22,METRO29180M29180,"Lafayette, LA MSA",589,676,749,961,1219,LA,239086.0
174,932,22,METRO29340M29340,"Lake Charles, LA MSA",534,603,733,905,1273,LA,193568.0
175,933,22,METRO33740M33740,"Monroe, LA MSA",479,543,674,894,923,LA,170053.0
176,934,22,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",768,851,995,1278,1320,LA,1316510.0
177,935,22,METRO43340M43340,"Shreveport-Bossier City, LA MSA",570,656,766,972,1003,LA,375965.0
178,971,23,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",542,633,807,1026,1158,ME,87262.0
179,973,23,METRO30340M30340,"Lewiston-Auburn, ME MSA",497,622,761,964,1068,ME,103793.0
180,974,23,METRO38860MM6400,"Portland, ME HUD Metro FMR Area",670,796,1031,1299,1392,ME,243537.0
181,975,23,METRO38860MM6450,"York-Kittery-South Berwick, ME HUD Metro FMR Area",872,877,1052,1532,1670,ME,41375.0
182,990,24,METRO12580M12580,"Baltimore-Towson, MD HUD Metro FMR Area",907,1025,1231,1581,1952,MD,2464740.0
183,991,24,METRO12580MM0721,"Columbia city, MD HUD Metro FMR Area",1369,1423,1651,2244,2614,MD,88254.0
184,992,24,METRO19060M19060,"Cumberland, MD-WV MSA",432,522,613,827,965,MD,74930.0
185,993,24,METRO25180MM3180,"Hagerstown, MD HUD Metro FMR Area",612,701,897,1294,1336,MD,131923.0
187,995,24,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",672,836,982,1217,1395,MD,84644.0
189,1005,25,METRO12700M12700,"Barnstable Town, MA MSA",857,1004,1321,1576,1626,MA,222230.0
190,1006,25,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1193,1266,1486,1777,1953,MA,3208714.0
191,1007,25,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",943,981,1236,1478,1853,MA,237393.0
192,1008,25,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",775,987,1193,1424,1469,MA,264873.0
193,1009,25,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",779,933,1199,1432,1571,MA,290772.0
194,1010,25,METRO38340M38340,"Pittsfield, MA HUD Metro FMR Area",616,720,893,1148,1182,MA,84699.0
195,1012,25,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",764,851,980,1171,1445,MA,233064.0
196,1013,25,METRO39300MM1120,"Taunton-Mansfield-Norton, MA HUD Metro FMR Area",704,888,1084,1330,1435,MA,108350.0
197,1014,25,METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",832,1103,1282,1533,2217,MA,34038.0
198,1015,25,METRO39300MM5400,"New Bedford, MA HUD Metro FMR Area",610,782,895,1072,1446,MA,159226.0
199,1016,25,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",602,716,910,1089,1264,MA,612256.0
200,1018,25,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",685,788,960,1148,1217,MA,500104.0
201,1020,25,METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",618,709,890,1089,1184,MA,139439.0
202,1024,26,METRO11460M11460,"Ann Arbor, MI MSA",687,770,937,1179,1213,MI,322895.0
203,1025,26,METRO12980M12980,"Battle Creek, MI MSA",503,578,707,861,887,MI,137985.0
204,1026,26,METRO13020M13020,"Bay City, MI MSA",497,556,675,901,927,MI,110157.0
205,1027,26,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",628,715,855,1023,1054,MI,4295606.0
206,1029,26,METRO22420M22420,"Flint, MI MSA",542,572,687,851,878,MI,436141.0
207,1030,26,METRO24340M24340,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",578,618,744,949,995,MI,574335.0
208,1034,26,METRO26100M26100,"Holland-Grand Haven, MI MSA",609,619,743,1028,1110,MI,238314.0
209,1035,26,METRO27100M27100,"Jackson, MI MSA",542,605,722,897,924,MI,158422.0
210,1036,26,METRO28020M28020,"Kalamazoo-Portage, MI MSA",561,599,728,968,1010,MI,314866.0
211,1037,26,METRO29620M29620,"Lansing-East Lansing, MI MSA",593,644,797,1010,1095,MI,447728.0
212,1038,26,METRO33780M33780,"Monroe, MI MSA",625,627,755,986,1086,MI,145945.0
213,1039,26,METRO34740M34740,"Muskegon-Norton Shores, MI MSA",509,531,690,912,938,MI,170200.0
214,1040,26,METRO35660M35660,"Niles-Benton Harbor, MI MSA",488,546,666,815,1045,MI,162453.0
215,1041,26,METRO40980M40980,"Saginaw-Saginaw Township North, MI MSA",479,548,692,829,852,MI,210039.0
216,1100,27,METRO20260M20260,"Duluth, MN-WI MSA",480,585,738,927,1181,MN,232199.0
217,1101,27,METRO22020M22020,"Fargo, ND-MN MSA",435,516,657,948,1096,MN,51229.0
218,1102,27,METRO24220M24220,"Grand Forks, ND-MN MSA",439,551,676,856,1164,MN,31369.0
219,1103,27,METRO29100M29100,"La Crosse, WI-MN MSA",451,528,695,922,1133,MN,19718.0
220,1104,27,METRO31860M31860,"Mankato-North Mankato, MN MSA",515,600,697,972,1128,MN,85712.0
221,1105,27,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",671,791,960,1257,1412,MN,2868847.0
222,1106,27,METRO40340M40340,"Rochester, MN HUD Metro FMR Area",551,588,773,1003,1047,MN,142008.0
223,1108,27,METRO41060M41060,"St. Cloud, MN MSA",542,597,715,1011,1174,MN,167392.0
224,1173,28,METRO25060M25060,"Gulfport-Biloxi, MS MSA",714,757,884,1152,1184,MS,246190.0
225,1174,28,METRO25620M25620,"Hattiesburg, MS MSA",540,616,733,1067,1102,MS,123812.0
226,1175,28,METRO27140M27140,"Jackson, MS HUD Metro FMR Area",598,676,784,943,972,MS,469558.0
228,1181,28,METRO37700M37700,"Pascagoula, MS MSA",579,662,795,1095,1174,MS,150564.0
230,1248,29,METRO17860M17860,"Columbia, MO MSA",459,549,682,993,1108,MO,145666.0
231,1251,29,METRO27620N29051,"Jefferson City, MO HUD Metro FMR Area",415,457,593,840,934,MO,84459.0
232,1253,29,METRO27900M27900,"Joplin, MO MSA",419,503,641,816,840,MO,157322.0
236,1259,29,METRO44180M44180,"Springfield, MO HUD Metro FMR Area",431,508,650,926,1058,MO,325721.0
237,1341,30,METRO13740M13740,"Billings, MT MSA",488,579,749,1010,1216,MT,138904.0
238,1342,30,METRO24500M24500,"Great Falls, MT MSA",419,505,647,875,1053,MT,80357.0
239,1343,30,METRO33540M33540,"Missoula, MT MSA",549,632,798,1034,1238,MT,95802.0
240,1396,31,METRO30700M30700,"Lincoln, NE HUD Metro FMR Area",498,560,712,999,1210,NE,250291.0
243,1485,32,METRO16180M16180,"Carson City, NV MSA",615,740,892,1300,1567,NV,52457.0
244,1486,32,METRO29820M29820,"Las Vegas-Paradise, NV MSA",739,870,1024,1423,1713,NV,1375765.0
245,1487,32,METRO39900M39900,"Reno-Sparks, NV MSA",664,794,981,1425,1723,NV,342885.0
248,1504,33,METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",786,928,1157,1527,1723,NH,206609.0
249,1505,33,METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",729,895,1071,1280,1318,NH,149985.0
250,1506,33,METRO31700MM5350,"Nashua, NH HUD Metro FMR Area",789,929,1161,1552,1661,NH,201863.0
251,1516,34,METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",915,1008,1203,1525,1711,NJ,252552.0
252,1517,34,METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",1212,1326,1515,1910,2313,NJ,1373167.0
253,1518,34,METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",1117,1180,1377,1669,1797,NJ,608975.0
254,1519,34,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",1164,1207,1420,1782,2102,NJ,1169641.0
255,1520,34,METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",1060,1224,1495,1948,2114,NJ,1126217.0
256,1521,34,METRO35620MM5640,"Newark, NJ HUD Metro FMR Area",998,1220,1394,1669,1846,NJ,1930552.0
257,1522,34,METRO36140M36140,"Ocean City, NJ MSA",922,941,1184,1551,1597,NJ,102326.0
259,1524,34,METRO45940M45940,"Trenton-Ewing, NJ MSA",987,1136,1365,1631,1830,NJ,350761.0
260,1525,34,METRO47220M47220,"Vineland-Millville-Bridgeton, NJ MSA",855,858,1081,1313,1384,NJ,146438.0
261,1526,35,METRO10740M10740,"Albuquerque, NM MSA",501,589,744,1083,1299,NM,729649.0
262,1527,35,METRO22140M22140,"Farmington, NM MSA",542,574,691,914,1030,NM,113801.0
263,1528,35,METRO29740M29740,"Las Cruces, NM MSA",503,542,604,834,925,NM,174682.0
264,1529,35,METRO42140M42140,"Santa Fe, NM MSA",634,786,956,1251,1496,NM,129292.0
