,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,state,0bed,1bed,2bed,3bed,4bed,Mean_Rent,Unemployment Rate %,Median Income
534,2015,TN01901,Nashville,658029,7245,72,507,4819,1847,,1101.02,10.94,77.05,732.34,280.69,TN,654,755,903,1200,1288,960,5.6,47330
535,2015,LANPD00,New Orleans,393447,3736,164,409,1666,1497,,949.56,41.68,103.95,423.44,380.48,LA,691,818,1013,1271,1539,1066.4,6.3,45922
536,2015,NY03030,New York,8550861,50088,352,2244,30546,16946,,585.77,4.12,26.24,357.23,198.18,NY,1323,1382,1638,2106,2360,1761.8,5.3,58005
537,2015,NJNPD00,Newark,279110,3072,107,104,1068,1793,,1100.64,38.34,37.26,382.64,642.4,NJ,1103,1143,1365,1761,2012,1476.8,5.8,68357
538,2015,CA00109,Oakland,419481,6051,85,285,2391,3290,,1442.5,20.26,67.94,569.99,784.3,CA,1120,1358,1708,2385,2926,1899.4,6.2,63636
539,2015,OK05506,Oklahoma City,630621,4828,73,480,3083,1192,,765.59,11.58,76.12,488.88,189.02,OK,537,624,798,1092,1311,872.4,4.4,47077
540,2015,FL04804,Orlando,268438,2525,32,182,1789,522,,940.63,11.92,67.8,666.45,194.46,FL,746,882,1052,1403,1697,1156,5.5,48825
541,2015,AZ00723,Phoenix,1559744,9261,112,1016,5113,3020,,593.75,7.18,65.14,327.81,193.62,AZ,620,782,966,1423,1662,1090.6,6.1,52248
542,2015,PAPPD00,Pittsburgh,306870,2167,57,82,1170,858,,706.16,18.57,26.72,381.27,279.6,PA,593,681,849,1066,1135,864.8,5.3,60389
544,2015,NC09201,Raleigh,438363,1676,17,108,873,678,,382.33,3.88,24.64,199.15,154.67,NC,700,818,970,1256,1560,1060.8,5.7,50797
545,2015,CA03404,Sacramento,489717,3611,43,105,2289,1174,,737.36,8.78,21.44,467.41,239.73,CA,726,865,1086,1600,1923,1240,6.2,63636
546,2015,UT01803,Salt Lake City,191992,1642,8,291,874,469,,855.24,4.17,151.57,455.23,244.28,UT,638,766,949,1353,1593,1059.8,3.6,66258
547,2015,TXSPD00,San Antonio,1463586,8594,94,1049,5465,1986,,587.19,6.42,71.67,373.4,135.69,TX,588,742,931,1214,1332,961.4,4.4,56473
548,2015,CA03711,San Diego,1400467,5582,37,566,3601,1378,,398.58,2.64,40.42,257.13,98.4,CA,1049,1153,1512,2198,2678,1718,6.2,63636
549,2015,CA03801,San Francisco,863782,6710,53,344,2703,3610,,776.82,6.14,39.82,312.93,417.93,CA,1378,1794,2263,3074,3717,2445.2,6.2,63636
550,2015,CA04313,San Jose,1031458,3400,30,375,1855,1140,,329.63,2.91,36.36,179.84,110.52,CA,1317,1541,1965,2771,3141,2147,6.2,63636
551,2015,WASPD00,Seattle,683700,4093,23,144,2394,1532,,598.65,3.36,21.06,350.15,224.07,WA,1053,1246,1533,2259,2715,1761.2,5.6,67243
552,2015,FL02902,Tampa,364383,2298,34,77,1516,671,,630.66,9.33,21.13,416.05,184.15,FL,650,815,1022,1364,1633,1096.8,5.5,48825
553,2015,AZ01003,Tucson,529675,3472,31,422,1960,1059,,655.5,5.85,79.67,370.04,199.93,AZ,522,652,877,1288,1532,974.2,6.1,52248
554,2015,OK07205,Tulsa,401520,3628,55,365,2354,854,,903.57,13.7,90.9,586.27,212.69,OK,526,639,833,1130,1259,877.4,4.4,47077
555,2015,DCMPD00,Washington,672228,8084,162,494,4024,3404,,1202.57,24.1,73.49,598.61,506.38,DC,1260,1328,1574,2107,2646,1783,6.9,70071
556,2015,KS08703,"Wichita, KS",389824,3839,27,349,2730,733,,984.8,6.93,89.53,700.32,188.03,KS,471,583,775,1069,1178,815.2,4.2,54865
