,1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,56,57,58,59,60,61,62,63,64,65,66,67
Label (Grouping),Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Boston city, Massachusetts!!Total!!Estimate","99,915","7,323","21,893","50,028","20,671","457,625","37,421","27,279","96,392","60,928","22,219","119,227","94,159",(X),"20,754",,(X),(X),(X),(X),,"45,189","21,541","27,346","32,392","56,853","70,000"
"Detroit city, Michigan!!Total!!Estimate","73,557","13,123","26,710","30,432","3,292","432,410","26,702","61,323","140,428","111,701","30,662","38,959","22,635",(X),"11,337",,(X),(X),(X),(X),,"23,049","16,404","20,702","23,560","36,630","43,960"
"Minneapolis city, Minnesota!!Total!!Estimate","52,342","5,780","9,891","24,993","11,678","276,896","18,838","14,656","43,422","46,998","19,181","77,832","55,969",(X),"14,760",,(X),(X),(X),(X),,"38,927","18,926","25,764","31,200","50,341","63,450"
"Newark city, New Jersey!!Total!!Estimate","30,996","3,995","10,392","13,957","2,652","182,502","22,764","23,917","61,720","34,468","10,505","21,368","7,760",(X),"2,799",,(X),(X),(X),(X),,"26,068","21,152","25,455","25,612","35,178","50,416"
"Albuquerque city, New Mexico!!Total!!Estimate","53,688","9,142","14,013","26,820","3,713","377,467","19,573","28,248","86,470","90,047","30,153","64,583","58,393",(X),"26,875",,(X),(X),(X),(X),,"32,201","19,760","27,269","29,971","45,630","61,577"
"Buffalo city, New York!!Total!!Estimate","31,370","4,826","8,978","12,820","4,746","167,166","10,581","19,298","47,065","34,656","15,618","21,545","18,403",(X),"5,830",,(X),(X),(X),(X),,"30,963","16,918","25,114","29,808","40,828","51,230"
"New York city, New York!!Total!!Estimate","797,243","110,987","189,593","348,422","148,241","5,948,515","595,083","540,939","1,422,093","832,377","366,329","1,301,871","889,823",(X),"292,373",,(X),(X),(X),(X),,"40,371","19,830","27,489","35,675","56,047","72,445"
"Charlotte city, North Carolina!!Total!!Estimate","80,989","9,492","21,151","37,058","13,288","550,245","29,992","35,875","107,800","106,688","39,497","149,307","81,086",(X),"26,981",,(X),(X),(X),(X),,"37,303","20,202","26,209","31,206","51,588","67,027"
"Raleigh city, North Carolina!!Total!!Estimate","59,854","6,209","12,062","32,231","9,352","292,363","12,049","14,392","47,726","54,704","19,556","92,780","51,156",(X),"16,989",,(X),(X),(X),(X),,"38,455","18,177","23,447","32,119","48,034","58,536"
"Cleveland city, Ohio!!Total!!Estimate","42,796","8,147","13,451","15,479","5,719","257,937","14,158","40,911","83,363","57,429","20,404","26,339","15,333",(X),"6,593",,(X),(X),(X),(X),,"27,447","17,469","24,248","26,753","40,820","55,343"
